id,model_make_id,name
1,1,MDX
2,1,RDX
3,1,RL
4,1,TL
5,1,TSX
6,1,Other
7,2,DB9
8,2,Other
9,3,A3
10,3,A4
11,3,A5
12,3,A6
13,3,A8
14,3,Q7
15,3,R8
16,3,RS 4
17,3,S4
18,3,S5
19,3,S6
20,3,S8
21,3,TT
22,3,Other
23,4,128
24,4,135
25,4,328
26,4,335
27,4,528
28,4,535
29,4,550
30,4,650
31,4,750
32,4,760
33,4,Alpina B7
34,4,M3
35,4,M5
36,4,M6
37,4,X3
38,4,X5
39,4,X6
40,4,Z4
41,4,Z4 M
42,4,Other
43,5,Enclave
44,5,LaCrosse
45,5,Lucerne
46,5,Other
47,6,CTS
48,6,DTS
49,6,Escalade
50,6,Escalade ESV
51,6,Escalade EXT
52,6,SRX
53,6,STS
54,6,XLR
55,6,Other
56,7,Avalanche
57,7,Aveo
58,7,Cobalt
59,7,Colorado Crew Cab
60,7,Colorado Extended Cab
61,7,Colorado Regular Cab
62,7,Corvette
63,7,Equinox
64,7,Express 1500 Cargo
65,7,Express 1500 Passenger
66,7,Express 2500 Cargo
67,7,Express 2500 Passenger
68,7,Express 3500 Cargo
69,7,Express 3500 Passenger
70,7,HHR
71,7,Impala
72,7,Malibu
73,7,Malibu (Classic)
74,7,Silverado 1500 Crew Cab
75,7,Silverado 1500 Extended Cab
76,7,Silverado 1500 Regular Cab
77,7,Silverado 2500 HD Crew Cab
78,7,Silverado 2500 HD Extended Cab
79,7,Silverado 2500 HD Regular Cab
80,7,Silverado 3500 HD Crew Cab
81,7,Silverado 3500 HD Extended Cab
82,7,Silverado 3500 HD Regular Cab
83,7,Suburban 1500
84,7,Suburban 2500
85,7,Tahoe
86,7,TrailBlazer
87,7,Traverse
88,7,Uplander Cargo
89,7,Uplander Passenger
90,7,Other
91,8,10 68|300
92,8,spen
93,8,Crossfire
94,8,Pacifica
95,8,PT Cruiser
96,8,Sebring
97,8,Town & Country
98,8,Other
99,9,Avenger
100,9,Caliber
101,9,Caravan Grand Cargo
102,9,Caravan Grand Passenger
103,9,Challenger
104,9,Changer
105,9,Dakota Crew Cab
106,9,Dakota Extended Cab
107,9,Durango
108,9,Journey
109,9,Magnum
110,9,Nitro
111,9,Ram 1500 Crew Cab
112,9,Ram 1500 Mega Cab
113,9,Ram 1500 Quad Cab
114,9,Ram 1500 Regular Cab
115,9,Ram 2500 Mega Cab
116,9,Ram 2500 Quad Cab
117,9,Ram 2500 Regular Cab
118,9,Ram 3500 Mega Cab
119,9,Ram 3500 Quad Cab
120,9,Ram 3500 Regular Cab
121,9,Sprinter 2500 Cargo
122,9,Sprinter 2500 Passenger
123,9,Sprinter 3500 Cargo
124,9,Viper
125,9,Other
126,10,430 Scuderia
127,10,599 GTB Fiorano
128,10,612 Scaglietti
129,10,F430
130,10,Other
131,11,E150 Cargo
132,11,E150 Super Duty Passenger
133,11,E250 Cargo
134,11,E350 Super Duty Cargo
135,11,E350 Super Duty Passenger
136,11,Edge
137,11,Escape
138,11,Expedition
139,11,Expedition EL
140,11,Explorer
141,11,Explorer Sport Trac
142,11,F150 Regular Cab
143,11,F150 Super Cab
144,11,F150 Super Crew Cab
145,11,F250 Super Duty Crew Cab
146,11,F250 Super Duty Regular Cab
147,11,F250 Super Duty Super Cab
148,11,F350 Super Duty Crew Cab
149,11,F350 Super Duty Regular Cab
150,11,F350 Super Duty Super Cab
151,11,F450 Super Duty Crew Cab
152,11,Flex
153,11,Focus
154,11,Fusion
155,11,Mustang
156,11,Ranger Regular Cab
157,11,Ranger Super Cab
158,11,Taurus
159,11,Taurus X
160,11,Other
161,12,Acadia
162,12,Canyon Crew Cab
163,12,Canyon Extended Cab
164,12,Canyon Regular Cab
165,12,Envoy
166,12,Savana 1500 Cargo
167,12,Savana 1500 Passenger
168,12,Savana 2500 Cargo
169,12,Savana 2500 Passenger
170,12,Savana 3500 Cargo
171,12,Savana 3500 Passenger
172,12,Sierra 1500 Crew Cab
173,12,Sierra 1500 Extended Cab
174,12,Sierra 1500 Regular Cab
175,12,Sierra 2500 HD Crew Cab
176,12,Sierra 2500 HD Extended Cab
177,12,Sierra 2500 HD Regular Cab
178,12,Sierra 3500 HD Crew Cab
179,12,Sierra 3500 HD Extended Cab
180,12,Sierra 3500 HD Regular Cab
181,12,Yukon
182,12,Yukon XL 1500
183,12,Yukon XL 2500
184,12,Other
185,13,Accord
186,13,Civic
187,13,CR-V
188,13,Element
189,13,Fit
190,13,Odyssey
191,13,Pilot
192,13,Ridgeline
193,13,S2000
194,13,Other
195,14,H2
196,14,H3
197,14,Other
198,15,Accent
199,15,Azera
200,15,Elanta
201,15,Entourage
202,15,Genesis
203,15,Santa Fe
204,15,Sonata
205,15,Tiburon
206,15,Tucson
207,15,Veracruz
208,15,Other
209,16,EX35
210,16,FX35
211,16,FX45
212,16,FX50
213,16,G35
214,16,G37
215,16,M35
216,16,M45
217,16,QX56
218,16,Other
219,17,Ascender
220,17,i-290 Extended Cab
221,17,i-370 Crew Cab
